,City,Lat,Long,Max_Temp,Date,Humidity,Cloudiness,Wind_Speed,Country
350,caravelas,-17.71,-39.25,25.51,1592761956,55,11,2.93,BR
351,norrtalje,59.76,18.7,20.0,1592761956,40,0,3.6,SE
352,naco,31.33,-109.95,30.56,1592761956,14,0,2.24,MX
353,fairbanks,64.84,-147.72,12.22,1592761908,93,90,6.2,US
354,lakhipur,26.03,90.3,27.01,1592761956,88,41,2.88,IN
355,westport,41.14,-73.36,31.11,1592761779,54,1,4.1,US
356,saint-pierre,-21.34,55.48,20.0,1592761957,82,75,2.1,RE
357,leshukonskoye,64.9,45.76,8.55,1592761957,66,4,2.02,RU
358,roebourne,-20.78,117.13,19.89,1592761957,36,0,4.9,AU
359,phan thiet,10.93,108.1,25.98,1592761957,86,99,0.54,VN
360,bouafle,6.99,-5.74,31.67,1592761957,66,71,1.73,CI
361,trairi,-3.28,-39.27,29.1,1592761957,59,0,5.69,BR
362,okahandja,-21.98,16.92,17.0,1592761957,20,0,1.0,NA
363,kavieng,-2.57,150.8,28.03,1592761957,73,27,1.24,PG
364,jian,27.12,114.98,26.43,1592761958,84,100,1.95,CN
365,kartuzy,54.33,18.2,22.0,1592761958,94,85,4.6,PL
366,tessalit,20.2,1.01,42.11,1592761958,6,8,6.42,ML
367,fengzhen,40.44,113.15,22.34,1592761958,55,97,3.06,CN
368,winchester,51.07,-1.32,20.0,1592761958,59,40,5.7,GB
369,luancheng,37.88,114.65,25.0,1592761958,61,97,2.0,CN
370,atambua,-9.11,124.89,21.6,1592761958,88,40,2.36,ID
371,xining,36.62,101.77,11.57,1592761958,81,100,0.39,CN
372,taltal,-25.4,-70.48,18.79,1592761959,57,7,2.13,CL
373,coos bay,43.37,-124.22,19.44,1592761769,87,90,5.1,US
374,kidal,18.44,1.41,40.7,1592761959,6,0,5.88,ML
375,beipiao,41.79,120.78,22.45,1592761959,52,86,3.39,CN
376,lawrenceburg,38.04,-84.9,25.0,1592761709,83,75,2.6,US
377,phalaborwa,-23.94,31.14,21.0,1592761959,31,0,1.0,ZA
378,rawson,-43.3,-65.1,13.07,1592761959,40,0,8.68,AR
379,kajaani,64.23,27.73,21.0,1592761959,40,5,1.5,FI
380,diego de almagro,-26.37,-70.05,26.84,1592761959,15,0,3.76,CL
381,kulunda,52.57,78.94,16.52,1592761959,42,100,6.13,RU
382,cabedelo,-6.98,-34.83,29.0,1592761960,62,40,6.7,BR
383,nizhniy odes,63.64,54.86,7.78,1592761960,74,91,3.92,RU
384,preston,53.77,-2.72,17.22,1592761960,77,20,9.8,GB
385,basco,20.45,121.97,29.47,1592761960,77,100,5.28,PH
386,oistins,13.07,-59.53,31.0,1592761929,66,20,10.8,BB
387,coquimbo,-29.95,-71.34,16.0,1592761960,72,8,5.1,CL
389,aketi,2.74,23.78,25.43,1592761960,73,76,1.36,CD
390,ciudad del maiz,22.4,-99.6,28.89,1592761787,34,18,1.34,MX
391,povenets,62.85,34.83,13.52,1592761961,62,0,1.21,RU
